sp19-mt1			Question Type	Difficulty	Topics	
place question numbers below (prefix with "q")	questionName					
q1a	sp19-mt1-q1a	WWJD, moderate, Java, , , , , , , , 	WWJD	moderate	Java	
q1b	sp19-mt1-q1b	WWJD, moderate, Java, , , , , , , , 	WWJD	moderate	Java	
q2	sp19-mt1-q2	Debugging, easy, Java, , , , , , , , 	Debugging	easy	Java	
q3	sp19-mt1-q3	PNH, hard, Java, , , , , , , , 	PNH	hard	Java	
q4a	sp19-mt1-q4a	Debugging, easy, Java, Lists, , , , , , , 	Debugging	easy	Java	Lists
q4b	sp19-mt1-q4b	Coding, easy, Java, Lists, , , , , , , 	Coding	easy	Java	Lists
q5	sp19-mt1-q5	Coding, easy, Linked Lists, , , , , , , , 	Coding	easy	Linked Lists	
q6a	sp19-mt1-q6a	Coding, easy, Linked Lists, , , , , , , , 	Coding	easy	Linked Lists	
q6b	sp19-mt1-q6b	Coding, moderate, Linked Lists, , , , , , , , 	Coding	moderate	Linked Lists	
q7	sp19-mt1-q7	WWJD, moderate, Java, , , , , , , , 	WWJD	moderate	Java	
q8	sp19-mt1-q8	Coding, easy, Comparators, , , , , , , , 	Coding	easy	Comparators	
q9a	sp19-mt1-q9a	WWJD, moderate, Iterators, , , , , , , , 	WWJD	moderate	Iterators	
q9b	sp19-mt1-q9b	Coding, moderate, Iterators, , , , , , , , 	Coding	moderate	Iterators	
		, , , , , , , , , , 				
		, , , , , , , , , , 				
		, , , , , , , , , , 				
		, , , , , , , , , , 				
		, , , , , , , , , , 				
		, , , , , , , , , , 				
		, , , , , , , , , , 				
		, , , , , , , , , , 				
		, , , , , , , , , , 				
		, , , , , , , , , , 				
		, , , , , , , , , , 				
		, , , , , , , , , , 				
		, , , , , , , , , , 				
		, , , , , , , , , , 				
		, , , , , , , , , , 				
		, , , , , , , , , , 				
		, , , , , , , , , , 				
