fa23-mt1			Question Type	Difficulty	Topics		
place question numbers below	questionName						
q1	fa23-mt1-q1	Potpourri, easy, Java, , , , , , , , 	Potpourri	easy	Java		
		, , , , , , , , , , 					
q2	fa23-mt1-q2	WWJD, moderate, Inheritance, DMS, , , , , , , 	WWJD	moderate	Inheritance	DMS	
		, , , , , , , , , , 					
q3a	fa23-mt1-q3a	Coding, moderate, Iterators, , , , , , , , 	Coding	moderate	Iterators		
q3b	fa23-mt1-q3b	Conceptual, moderate, Iterators, , , , , , , , 	Conceptual	moderate	Iterators		
		, , , , , , , , , , 					
q4a	fa23-mt1-q4a	Coding, easy, Lists, , , , , , , , 	Coding	easy	Lists		
q4b	fa23-mt1-q4b	Coding, easy, Lists, , , , , , , , 	Coding	easy	Lists		
q4c	fa23-mt1-q4c	Conceptual, moderate, Java, Equals, Lists, , , , , , 	Conceptual	moderate	Java	Equals	Lists
q4d	fa23-mt1-q4d	Coding, easy, Comparators, , , , , , , , 	Coding	easy	Comparators		
		, , , , , , , , , , 					
q5a	fa23-mt1-q5a	Coding, hard, Arrays, Java, , , , , , , 	Coding	hard	Arrays	Java	
q5b	fa23-mt1-q5b	Coding, hard, Arrays, Java, , , , , , , 	Coding	hard	Arrays	Java	
		, , , , , , , , , , 					
q6	fa23-mt1-q6	PNH, , , , , , , , , , 	PNH				
		, , , , , , , , , , 					
		, , , , , , , , , , 					
		, , , , , , , , , , 					
		, , , , , , , , , , 					
		, , , , , , , , , , 					
		, , , , , , , , , , 					
		, , , , , , , , , , 					
		, , , , , , , , , , 					
		, , , , , , , , , , 					
		, , , , , , , , , , 					
		, , , , , , , , , , 					
		, , , , , , , , , , 					
		, , , , , , , , , , 					
		, , , , , , , , , , 					
